LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,GAS,10,AlphaTauri,19.0,0 days 00:02:02.171000,False,,0 days 00:00:31.018000,0 days 00:00:53.708000,HARD,,,,19.0,0.0,Suspension,2021,GP Monza,historica
2.0,GAS,10,AlphaTauri,18.0,0 days 00:01:29.005000,True,0 days 00:00:28.594000,0 days 00:00:30.877000,0 days 00:00:29.534000,HARD,,,,19.0,0.0,Suspension,2021,GP Monza,historica
3.0,GAS,10,AlphaTauri,18.0,0 days 00:01:49.173000,False,0 days 00:00:28.479000,0 days 00:00:37.644000,0 days 00:00:43.050000,HARD,,,,19.0,0.0,Suspension,2021,GP Monza,historica
1.0,PER,11,Red Bull Racing,8.0,0 days 00:01:50.352000,False,,0 days 00:00:31.553000,0 days 00:00:46.710000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
2.0,PER,11,Red Bull Racing,7.0,0 days 00:01:27.606000,True,0 days 00:00:29.036000,0 days 00:00:29.775000,0 days 00:00:28.795000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
3.0,PER,11,Red Bull Racing,7.0,0 days 00:01:26.741000,True,0 days 00:00:28.242000,0 days 00:00:29.581000,0 days 00:00:28.918000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
4.0,PER,11,Red Bull Racing,7.0,0 days 00:01:27.002000,False,0 days 00:00:28.560000,0 days 00:00:29.644000,0 days 00:00:28.798000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
5.0,PER,11,Red Bull Racing,7.0,0 days 00:01:27.049000,False,0 days 00:00:28.274000,0 days 00:00:29.633000,0 days 00:00:29.142000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
6.0,PER,11,Red Bull Racing,7.0,0 days 00:01:27.019000,False,0 days 00:00:28.389000,0 days 00:00:29.717000,0 days 00:00:28.913000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
7.0,PER,11,Red Bull Racing,7.0,0 days 00:01:26.971000,False,0 days 00:00:28.330000,0 days 00:00:29.727000,0 days 00:00:28.914000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
8.0,PER,11,Red Bull Racing,7.0,0 days 00:01:26.823000,False,0 days 00:00:28.188000,0 days 00:00:29.741000,0 days 00:00:28.894000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
9.0,PER,11,Red Bull Racing,6.0,0 days 00:01:27.595000,False,0 days 00:00:28.309000,0 days 00:00:30.394000,0 days 00:00:28.892000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
10.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.623000,True,0 days 00:00:28.335000,0 days 00:00:29.451000,0 days 00:00:28.837000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
11.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.322000,True,0 days 00:00:28.197000,0 days 00:00:29.313000,0 days 00:00:28.812000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
12.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.387000,False,0 days 00:00:28.213000,0 days 00:00:29.356000,0 days 00:00:28.818000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
13.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.529000,False,0 days 00:00:28.207000,0 days 00:00:29.327000,0 days 00:00:28.995000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
14.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.536000,False,0 days 00:00:28.262000,0 days 00:00:29.362000,0 days 00:00:28.912000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
15.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.499000,False,0 days 00:00:28.159000,0 days 00:00:29.365000,0 days 00:00:28.975000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
16.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.946000,False,0 days 00:00:28.200000,0 days 00:00:29.661000,0 days 00:00:29.085000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
17.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.855000,False,0 days 00:00:28.125000,0 days 00:00:29.564000,0 days 00:00:29.166000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
18.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.880000,False,0 days 00:00:28.267000,0 days 00:00:29.498000,0 days 00:00:29.115000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
19.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.859000,False,0 days 00:00:28.170000,0 days 00:00:29.487000,0 days 00:00:29.202000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
20.0,PER,11,Red Bull Racing,6.0,0 days 00:01:26.882000,False,0 days 00:00:28.213000,0 days 00:00:29.502000,0 days 00:00:29.167000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
21.0,PER,11,Red Bull Racing,6.0,0 days 00:01:27.377000,False,0 days 00:00:28.287000,0 days 00:00:29.825000,0 days 00:00:29.265000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
22.0,PER,11,Red Bull Racing,6.0,0 days 00:01:27.679000,False,0 days 00:00:28.780000,0 days 00:00:29.719000,0 days 00:00:29.180000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
23.0,PER,11,Red Bull Racing,5.0,0 days 00:01:26.919000,False,0 days 00:00:28.335000,0 days 00:00:29.579000,0 days 00:00:29.005000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
24.0,PER,11,Red Bull Racing,4.0,0 days 00:01:27.257000,False,0 days 00:00:28.477000,0 days 00:00:29.699000,0 days 00:00:29.081000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
25.0,PER,11,Red Bull Racing,3.0,0 days 00:01:27.273000,False,0 days 00:00:28.407000,0 days 00:00:29.588000,0 days 00:00:29.278000,MEDIUM,,,,5.0,8.0,Finished,2021,GP Monza,historica
26.0,PER,11,Red Bull Racing,2.0,0 days 00:01:45.619000,False,0 days 00:00:28.252000,0 days 00:00:37.119000,0 days 00:00:40.248000,MEDIUM,0 days 01:40:33.698000,0 days 01:40:57.582000,0 days 00:00:23.884000,5.0,8.0,Finished,2021,GP Monza,historica
27.0,PER,11,Red Bull Racing,4.0,,False,0 days 00:00:58.063000,0 days 00:00:49.412000,0 days 00:00:57.009000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
28.0,PER,11,Red Bull Racing,4.0,,False,0 days 00:00:53.287000,0 days 00:00:50.677000,0 days 00:00:52.129000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
29.0,PER,11,Red Bull Racing,4.0,0 days 00:02:29.828000,False,0 days 00:00:47.906000,0 days 00:00:56.299000,0 days 00:00:45.623000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
30.0,PER,11,Red Bull Racing,4.0,0 days 00:02:29.721000,False,0 days 00:00:42.104000,0 days 00:00:58.536000,0 days 00:00:49.081000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
31.0,PER,11,Red Bull Racing,4.0,0 days 00:01:27.677000,False,0 days 00:00:28.102000,0 days 00:00:30.627000,0 days 00:00:28.948000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
32.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.594000,False,0 days 00:00:27.639000,0 days 00:00:30.353000,0 days 00:00:28.602000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
33.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.645000,True,0 days 00:00:28.105000,0 days 00:00:29.138000,0 days 00:00:28.402000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
34.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.151000,False,0 days 00:00:28.015000,0 days 00:00:29.442000,0 days 00:00:28.694000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
35.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.038000,False,0 days 00:00:27.883000,0 days 00:00:29.477000,0 days 00:00:28.678000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
36.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.045000,False,0 days 00:00:27.946000,0 days 00:00:29.477000,0 days 00:00:28.622000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
37.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.209000,False,0 days 00:00:28.115000,0 days 00:00:29.489000,0 days 00:00:28.605000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
38.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.373000,False,0 days 00:00:28.041000,0 days 00:00:29.576000,0 days 00:00:28.756000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
39.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.718000,False,0 days 00:00:27.916000,0 days 00:00:29.278000,0 days 00:00:28.524000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
40.0,PER,11,Red Bull Racing,3.0,0 days 00:01:26.134000,False,0 days 00:00:28.119000,0 days 00:00:29.389000,0 days 00:00:28.626000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
41.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.860000,False,0 days 00:00:27.952000,0 days 00:00:29.325000,0 days 00:00:28.583000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
42.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.919000,False,0 days 00:00:28.073000,0 days 00:00:29.260000,0 days 00:00:28.586000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
43.0,PER,11,Red Bull Racing,3.0,0 days 00:01:27.040000,False,0 days 00:00:28.256000,0 days 00:00:29.824000,0 days 00:00:28.960000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
44.0,PER,11,Red Bull Racing,3.0,0 days 00:01:44.518000,False,0 days 00:00:28.647000,0 days 00:00:44.168000,0 days 00:00:31.703000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
45.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.965000,False,0 days 00:00:28.253000,0 days 00:00:29.386000,0 days 00:00:28.326000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
46.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.361000,True,0 days 00:00:28.015000,0 days 00:00:29.010000,0 days 00:00:28.336000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
47.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.553000,False,0 days 00:00:28.057000,0 days 00:00:29.129000,0 days 00:00:28.367000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
48.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.800000,False,0 days 00:00:28.056000,0 days 00:00:29.154000,0 days 00:00:28.590000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
49.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.603000,False,0 days 00:00:27.953000,0 days 00:00:29.126000,0 days 00:00:28.524000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
50.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.448000,False,0 days 00:00:27.971000,0 days 00:00:29.090000,0 days 00:00:28.387000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
51.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.274000,True,0 days 00:00:27.874000,0 days 00:00:29.103000,0 days 00:00:28.297000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
52.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.281000,False,0 days 00:00:28.042000,0 days 00:00:28.934000,0 days 00:00:28.305000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
53.0,PER,11,Red Bull Racing,3.0,0 days 00:01:25.156000,True,0 days 00:00:27.905000,0 days 00:00:29.038000,0 days 00:00:28.213000,HARD,,,,5.0,8.0,Finished,2021,GP Monza,historica
1.0,ALO,14,Alpine,10.0,0 days 00:01:53.420000,False,,0 days 00:00:32.141000,0 days 00:00:48.782000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
2.0,ALO,14,Alpine,9.0,0 days 00:01:27.173000,True,0 days 00:00:28.204000,0 days 00:00:29.791000,0 days 00:00:29.178000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
3.0,ALO,14,Alpine,9.0,0 days 00:01:27.688000,False,0 days 00:00:28.336000,0 days 00:00:30.157000,0 days 00:00:29.195000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
4.0,ALO,14,Alpine,9.0,0 days 00:01:27.750000,False,0 days 00:00:28.434000,0 days 00:00:30.101000,0 days 00:00:29.215000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
5.0,ALO,14,Alpine,9.0,0 days 00:01:27.418000,False,0 days 00:00:28.291000,0 days 00:00:29.957000,0 days 00:00:29.170000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
6.0,ALO,14,Alpine,9.0,0 days 00:01:27.745000,False,0 days 00:00:28.528000,0 days 00:00:30.013000,0 days 00:00:29.204000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
7.0,ALO,14,Alpine,9.0,0 days 00:01:27.629000,False,0 days 00:00:28.391000,0 days 00:00:29.977000,0 days 00:00:29.261000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
8.0,ALO,14,Alpine,9.0,0 days 00:01:27.727000,False,0 days 00:00:28.499000,0 days 00:00:30.018000,0 days 00:00:29.210000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
9.0,ALO,14,Alpine,9.0,0 days 00:01:27.840000,False,0 days 00:00:28.485000,0 days 00:00:30.029000,0 days 00:00:29.326000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
10.0,ALO,14,Alpine,9.0,0 days 00:01:27.749000,False,0 days 00:00:28.556000,0 days 00:00:30.040000,0 days 00:00:29.153000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
11.0,ALO,14,Alpine,9.0,0 days 00:01:27.520000,False,0 days 00:00:28.440000,0 days 00:00:29.814000,0 days 00:00:29.266000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
12.0,ALO,14,Alpine,9.0,0 days 00:01:27.407000,False,0 days 00:00:28.374000,0 days 00:00:29.864000,0 days 00:00:29.169000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
13.0,ALO,14,Alpine,9.0,0 days 00:01:27.299000,False,0 days 00:00:28.363000,0 days 00:00:29.818000,0 days 00:00:29.118000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
14.0,ALO,14,Alpine,9.0,0 days 00:01:27.319000,False,0 days 00:00:28.395000,0 days 00:00:29.813000,0 days 00:00:29.111000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
15.0,ALO,14,Alpine,9.0,0 days 00:01:27.359000,False,0 days 00:00:28.336000,0 days 00:00:29.820000,0 days 00:00:29.203000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
16.0,ALO,14,Alpine,9.0,0 days 00:01:27.369000,False,0 days 00:00:28.386000,0 days 00:00:29.875000,0 days 00:00:29.108000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
17.0,ALO,14,Alpine,10.0,0 days 00:01:28.781000,False,0 days 00:00:29.158000,0 days 00:00:30.432000,0 days 00:00:29.191000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
18.0,ALO,14,Alpine,10.0,0 days 00:01:27.743000,False,0 days 00:00:28.389000,0 days 00:00:30.150000,0 days 00:00:29.204000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
19.0,ALO,14,Alpine,10.0,0 days 00:01:27.347000,False,0 days 00:00:28.312000,0 days 00:00:29.920000,0 days 00:00:29.115000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
20.0,ALO,14,Alpine,10.0,0 days 00:01:27.299000,False,0 days 00:00:28.397000,0 days 00:00:29.761000,0 days 00:00:29.141000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
21.0,ALO,14,Alpine,10.0,0 days 00:01:27.756000,False,0 days 00:00:28.507000,0 days 00:00:30.028000,0 days 00:00:29.221000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
22.0,ALO,14,Alpine,10.0,0 days 00:01:27.710000,False,0 days 00:00:28.498000,0 days 00:00:29.850000,0 days 00:00:29.362000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
23.0,ALO,14,Alpine,10.0,0 days 00:01:27.838000,False,0 days 00:00:28.496000,0 days 00:00:29.970000,0 days 00:00:29.372000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
24.0,ALO,14,Alpine,10.0,0 days 00:01:28.781000,False,0 days 00:00:28.626000,0 days 00:00:29.963000,0 days 00:00:30.192000,MEDIUM,,,,8.0,10.0,Finished,2021,GP Monza,historica
25.0,ALO,14,Alpine,10.0,0 days 00:01:32.110000,False,0 days 00:00:28.485000,0 days 00:00:30.102000,0 days 00:00:33.523000,MEDIUM,0 days 01:39:12.860000,0 days 01:39:37.631000,0 days 00:00:24.771000,8.0,10.0,Finished,2021,GP Monza,historica
26.0,ALO,14,Alpine,11.0,0 days 00:02:14.490000,False,0 days 00:00:56.084000,0 days 00:00:38.120000,0 days 00:00:40.286000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
27.0,ALO,14,Alpine,8.0,0 days 00:01:59.084000,False,0 days 00:00:39.416000,0 days 00:00:40.375000,0 days 00:00:39.293000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
28.0,ALO,14,Alpine,8.0,,False,0 days 00:00:51.021000,0 days 00:00:52.376000,0 days 00:00:52.569000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
29.0,ALO,14,Alpine,8.0,,False,0 days 00:00:46.476000,0 days 00:00:56.595000,0 days 00:00:47.967000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
30.0,ALO,14,Alpine,8.0,0 days 00:02:22.422000,False,0 days 00:00:38.337000,0 days 00:00:58.541000,0 days 00:00:45.544000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
31.0,ALO,14,Alpine,8.0,0 days 00:01:28.280000,False,0 days 00:00:28.080000,0 days 00:00:30.679000,0 days 00:00:29.521000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
32.0,ALO,14,Alpine,8.0,0 days 00:01:27.490000,False,0 days 00:00:28.304000,0 days 00:00:29.917000,0 days 00:00:29.269000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
33.0,ALO,14,Alpine,8.0,0 days 00:01:27.168000,True,0 days 00:00:28.298000,0 days 00:00:29.886000,0 days 00:00:28.984000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
34.0,ALO,14,Alpine,8.0,0 days 00:01:26.614000,True,0 days 00:00:28.114000,0 days 00:00:29.670000,0 days 00:00:28.830000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
35.0,ALO,14,Alpine,8.0,0 days 00:01:26.448000,True,0 days 00:00:28.084000,0 days 00:00:29.623000,0 days 00:00:28.741000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
36.0,ALO,14,Alpine,8.0,0 days 00:01:26.690000,False,0 days 00:00:28.309000,0 days 00:00:29.579000,0 days 00:00:28.802000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
37.0,ALO,14,Alpine,8.0,0 days 00:01:26.480000,False,0 days 00:00:28.188000,0 days 00:00:29.481000,0 days 00:00:28.811000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
38.0,ALO,14,Alpine,8.0,0 days 00:01:26.239000,True,0 days 00:00:28.167000,0 days 00:00:29.318000,0 days 00:00:28.754000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
39.0,ALO,14,Alpine,8.0,0 days 00:01:26.224000,True,0 days 00:00:28.134000,0 days 00:00:29.430000,0 days 00:00:28.660000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
40.0,ALO,14,Alpine,8.0,0 days 00:01:26.110000,True,0 days 00:00:28.142000,0 days 00:00:29.412000,0 days 00:00:28.556000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
41.0,ALO,14,Alpine,8.0,0 days 00:01:25.868000,True,0 days 00:00:28.156000,0 days 00:00:29.299000,0 days 00:00:28.413000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
42.0,ALO,14,Alpine,8.0,0 days 00:01:26.017000,False,0 days 00:00:28.092000,0 days 00:00:29.419000,0 days 00:00:28.506000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
43.0,ALO,14,Alpine,8.0,0 days 00:01:27.180000,False,0 days 00:00:28.418000,0 days 00:00:29.517000,0 days 00:00:29.245000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
44.0,ALO,14,Alpine,8.0,0 days 00:01:45.578000,False,0 days 00:00:34.453000,0 days 00:00:39.460000,0 days 00:00:31.665000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
45.0,ALO,14,Alpine,8.0,0 days 00:01:26.574000,False,0 days 00:00:28.311000,0 days 00:00:29.582000,0 days 00:00:28.681000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
46.0,ALO,14,Alpine,8.0,0 days 00:01:26.474000,False,0 days 00:00:28.362000,0 days 00:00:29.489000,0 days 00:00:28.623000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
47.0,ALO,14,Alpine,8.0,0 days 00:01:26.342000,False,0 days 00:00:28.427000,0 days 00:00:29.422000,0 days 00:00:28.493000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
48.0,ALO,14,Alpine,8.0,0 days 00:01:26.238000,False,0 days 00:00:28.241000,0 days 00:00:29.375000,0 days 00:00:28.622000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
49.0,ALO,14,Alpine,8.0,0 days 00:01:26.021000,False,0 days 00:00:28.209000,0 days 00:00:29.221000,0 days 00:00:28.591000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
50.0,ALO,14,Alpine,8.0,0 days 00:01:25.861000,True,0 days 00:00:28.211000,0 days 00:00:29.274000,0 days 00:00:28.376000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
51.0,ALO,14,Alpine,8.0,0 days 00:01:25.910000,False,0 days 00:00:28.348000,0 days 00:00:29.179000,0 days 00:00:28.383000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
52.0,ALO,14,Alpine,8.0,0 days 00:01:25.472000,True,0 days 00:00:28.029000,0 days 00:00:29.122000,0 days 00:00:28.321000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
53.0,ALO,14,Alpine,8.0,0 days 00:01:25.511000,False,0 days 00:00:28.057000,0 days 00:00:29.104000,0 days 00:00:28.350000,HARD,,,,8.0,10.0,Finished,2021,GP Monza,historica
1.0,LEC,16,Ferrari,6.0,0 days 00:01:48.161000,False,,0 days 00:00:30.966000,0 days 00:00:45.865000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
2.0,LEC,16,Ferrari,5.0,0 days 00:01:27.990000,True,0 days 00:00:29.905000,0 days 00:00:29.180000,0 days 00:00:28.905000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
3.0,LEC,16,Ferrari,5.0,0 days 00:01:26.073000,True,0 days 00:00:28.209000,0 days 00:00:29.051000,0 days 00:00:28.813000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
4.0,LEC,16,Ferrari,5.0,0 days 00:01:26.580000,False,0 days 00:00:28.367000,0 days 00:00:29.185000,0 days 00:00:29.028000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
5.0,LEC,16,Ferrari,5.0,0 days 00:01:26.473000,False,0 days 00:00:28.339000,0 days 00:00:29.162000,0 days 00:00:28.972000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
6.0,LEC,16,Ferrari,5.0,0 days 00:01:26.493000,False,0 days 00:00:28.455000,0 days 00:00:29.231000,0 days 00:00:28.807000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
7.0,LEC,16,Ferrari,5.0,0 days 00:01:26.765000,False,0 days 00:00:28.363000,0 days 00:00:29.280000,0 days 00:00:29.122000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
8.0,LEC,16,Ferrari,5.0,0 days 00:01:26.613000,False,0 days 00:00:28.406000,0 days 00:00:29.250000,0 days 00:00:28.957000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
9.0,LEC,16,Ferrari,5.0,0 days 00:01:26.506000,False,0 days 00:00:28.477000,0 days 00:00:29.150000,0 days 00:00:28.879000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
10.0,LEC,16,Ferrari,5.0,0 days 00:01:26.585000,False,0 days 00:00:28.402000,0 days 00:00:29.279000,0 days 00:00:28.904000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
11.0,LEC,16,Ferrari,5.0,0 days 00:01:26.543000,False,0 days 00:00:28.341000,0 days 00:00:29.233000,0 days 00:00:28.969000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
12.0,LEC,16,Ferrari,5.0,0 days 00:01:26.622000,False,0 days 00:00:28.327000,0 days 00:00:29.370000,0 days 00:00:28.925000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
13.0,LEC,16,Ferrari,5.0,0 days 00:01:26.652000,False,0 days 00:00:28.318000,0 days 00:00:29.194000,0 days 00:00:29.140000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
14.0,LEC,16,Ferrari,5.0,0 days 00:01:27.043000,False,0 days 00:00:28.287000,0 days 00:00:29.457000,0 days 00:00:29.299000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
15.0,LEC,16,Ferrari,5.0,0 days 00:01:27.301000,False,0 days 00:00:28.370000,0 days 00:00:29.622000,0 days 00:00:29.309000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
16.0,LEC,16,Ferrari,5.0,0 days 00:01:27.194000,False,0 days 00:00:28.377000,0 days 00:00:29.459000,0 days 00:00:29.358000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
17.0,LEC,16,Ferrari,5.0,0 days 00:01:26.985000,False,0 days 00:00:28.372000,0 days 00:00:29.495000,0 days 00:00:29.118000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
18.0,LEC,16,Ferrari,5.0,0 days 00:01:26.993000,False,0 days 00:00:28.294000,0 days 00:00:29.512000,0 days 00:00:29.187000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
19.0,LEC,16,Ferrari,5.0,0 days 00:01:26.643000,False,0 days 00:00:28.318000,0 days 00:00:29.286000,0 days 00:00:29.039000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
20.0,LEC,16,Ferrari,5.0,0 days 00:01:26.964000,False,0 days 00:00:28.348000,0 days 00:00:29.489000,0 days 00:00:29.127000,MEDIUM,,,,4.0,5.0,Finished,2021,GP Monza,historica
