LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VER,1,Red Bull Racing,9.0,0 days 00:01:57.183000,False,,0 days 00:00:52.573000,0 days 00:00:29.298000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
1.0,SAR,2,Williams,20.0,0 days 00:02:02.190000,False,,0 days 00:00:54.416000,0 days 00:00:30.121000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
1.0,RIC,3,RB,14.0,0 days 00:01:59.256000,False,,0 days 00:00:52.773000,0 days 00:00:29.871000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
1.0,NOR,4,McLaren,7.0,0 days 00:01:55.727000,False,,0 days 00:00:51.462000,0 days 00:00:29.456000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
1.0,GAS,10,Alpine,12.0,0 days 00:01:58.554000,False,,0 days 00:00:52.344000,0 days 00:00:29.936000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
1.0,PER,11,Red Bull Racing,3.0,0 days 00:01:53.439000,False,,0 days 00:00:50.038000,0 days 00:00:29.491000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
1.0,ALO,14,Aston Martin,8.0,0 days 00:01:56.577000,False,,0 days 00:00:51.662000,0 days 00:00:29.580000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
1.0,LEC,16,Ferrari,1.0,0 days 00:01:51.912000,False,,0 days 00:00:48.663000,0 days 00:00:29.571000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
1.0,STR,18,Aston Martin,15.0,0 days 00:01:59.618000,False,,0 days 00:00:52.681000,0 days 00:00:29.786000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
1.0,MAG,20,Haas F1 Team,17.0,0 days 00:02:00.748000,False,,0 days 00:00:53.816000,0 days 00:00:29.735000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
1.0,TSU,22,RB,19.0,0 days 00:02:01.641000,False,,0 days 00:00:54.313000,0 days 00:00:29.975000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
1.0,ALB,23,Williams,10.0,0 days 00:01:57.321000,False,,0 days 00:00:52.352000,0 days 00:00:29.753000,MEDIUM,,,,12.0,10.0,Finished,2024,GP Belgica,historica
1.0,ZHO,24,Kick Sauber,18.0,0 days 00:02:01.121000,False,,0 days 00:00:53.899000,0 days 00:00:29.790000,HARD,,,,19.0,19.0,Retired,2024,GP Belgica,historica
1.0,HUL,27,Haas F1 Team,16.0,0 days 00:02:00.156000,False,,0 days 00:00:53.595000,0 days 00:00:29.837000,MEDIUM,,,,18.0,16.0,Finished,2024,GP Belgica,historica
1.0,OCO,31,Alpine,11.0,0 days 00:01:57.847000,False,,0 days 00:00:52.581000,0 days 00:00:29.547000,MEDIUM,,,,9.0,9.0,Finished,2024,GP Belgica,historica
1.0,HAM,44,Mercedes,2.0,0 days 00:01:52.700000,False,,0 days 00:00:49.406000,0 days 00:00:29.478000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
1.0,SAI,55,Ferrari,6.0,0 days 00:01:55.270000,False,,0 days 00:00:51.338000,0 days 00:00:29.464000,HARD,,,,6.0,7.0,Finished,2024,GP Belgica,historica
1.0,RUS,63,Mercedes,5.0,0 days 00:01:54.763000,False,,0 days 00:00:51.125000,0 days 00:00:29.496000,MEDIUM,,,,20.0,6.0,Disqualified,2024,GP Belgica,historica
1.0,BOT,77,Kick Sauber,13.0,0 days 00:01:58.761000,False,,0 days 00:00:53.131000,0 days 00:00:29.699000,MEDIUM,,,,15.0,14.0,Finished,2024,GP Belgica,historica
1.0,PIA,81,McLaren,4.0,0 days 00:01:54.248000,False,,0 days 00:00:50.480000,0 days 00:00:29.643000,MEDIUM,,,,2.0,5.0,Finished,2024,GP Belgica,historica
2.0,VER,1,Red Bull Racing,8.0,0 days 00:01:49.828000,True,0 days 00:00:30.820000,0 days 00:00:49.592000,0 days 00:00:29.416000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
2.0,SAR,2,Williams,20.0,0 days 00:01:52.288000,True,0 days 00:00:31.109000,0 days 00:00:51.469000,0 days 00:00:29.710000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
2.0,RIC,3,RB,14.0,0 days 00:01:51.541000,True,0 days 00:00:31.293000,0 days 00:00:50.578000,0 days 00:00:29.670000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
2.0,NOR,4,McLaren,7.0,0 days 00:01:50.504000,False,0 days 00:00:30.617000,0 days 00:00:50.537000,0 days 00:00:29.350000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
2.0,GAS,10,Alpine,12.0,0 days 00:01:51.273000,True,0 days 00:00:31.234000,0 days 00:00:50.430000,0 days 00:00:29.609000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
2.0,PER,11,Red Bull Racing,3.0,0 days 00:01:50.240000,True,0 days 00:00:31.365000,0 days 00:00:49.207000,0 days 00:00:29.668000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
2.0,ALO,14,Aston Martin,9.0,0 days 00:01:51.316000,True,0 days 00:00:31.667000,0 days 00:00:50.084000,0 days 00:00:29.565000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
2.0,LEC,16,Ferrari,1.0,0 days 00:01:50.240000,True,0 days 00:00:31.831000,0 days 00:00:48.675000,0 days 00:00:29.734000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
2.0,STR,18,Aston Martin,15.0,0 days 00:01:51.654000,False,0 days 00:00:30.994000,0 days 00:00:51.046000,0 days 00:00:29.614000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
2.0,MAG,20,Haas F1 Team,17.0,0 days 00:01:51.732000,True,0 days 00:00:31.030000,0 days 00:00:51.129000,0 days 00:00:29.573000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
2.0,TSU,22,RB,19.0,0 days 00:01:52.391000,True,0 days 00:00:31.466000,0 days 00:00:51.188000,0 days 00:00:29.737000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
2.0,ALB,23,Williams,10.0,0 days 00:01:51.283000,True,0 days 00:00:31.152000,0 days 00:00:50.603000,0 days 00:00:29.528000,MEDIUM,,,,12.0,10.0,Finished,2024,GP Belgica,historica
2.0,ZHO,24,Kick Sauber,18.0,0 days 00:01:52.099000,True,0 days 00:00:31.083000,0 days 00:00:51.313000,0 days 00:00:29.703000,HARD,,,,19.0,19.0,Retired,2024,GP Belgica,historica
2.0,HUL,27,Haas F1 Team,16.0,0 days 00:01:51.800000,True,0 days 00:00:30.661000,0 days 00:00:51.433000,0 days 00:00:29.706000,MEDIUM,,,,18.0,16.0,Finished,2024,GP Belgica,historica
2.0,OCO,31,Alpine,11.0,0 days 00:01:51.312000,True,0 days 00:00:31.117000,0 days 00:00:50.729000,0 days 00:00:29.466000,MEDIUM,,,,9.0,9.0,Finished,2024,GP Belgica,historica
2.0,HAM,44,Mercedes,2.0,0 days 00:01:49.849000,True,0 days 00:00:31.284000,0 days 00:00:49.211000,0 days 00:00:29.354000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
2.0,SAI,55,Ferrari,6.0,0 days 00:01:50.260000,True,0 days 00:00:31.055000,0 days 00:00:49.801000,0 days 00:00:29.404000,HARD,,,,6.0,7.0,Finished,2024,GP Belgica,historica
2.0,RUS,63,Mercedes,5.0,0 days 00:01:50.160000,True,0 days 00:00:31.075000,0 days 00:00:49.700000,0 days 00:00:29.385000,MEDIUM,,,,20.0,6.0,Disqualified,2024,GP Belgica,historica
2.0,BOT,77,Kick Sauber,13.0,0 days 00:01:51.452000,True,0 days 00:00:31.283000,0 days 00:00:50.718000,0 days 00:00:29.451000,MEDIUM,,,,15.0,14.0,Finished,2024,GP Belgica,historica
2.0,PIA,81,McLaren,4.0,0 days 00:01:50.164000,True,0 days 00:00:31.056000,0 days 00:00:49.480000,0 days 00:00:29.628000,MEDIUM,,,,2.0,5.0,Finished,2024,GP Belgica,historica
3.0,VER,1,Red Bull Racing,8.0,0 days 00:01:50.141000,False,0 days 00:00:30.975000,0 days 00:00:49.693000,0 days 00:00:29.473000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
3.0,SAR,2,Williams,19.0,0 days 00:01:51.366000,True,0 days 00:00:30.942000,0 days 00:00:50.865000,0 days 00:00:29.559000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
3.0,RIC,3,RB,14.0,0 days 00:01:51.215000,True,0 days 00:00:31.270000,0 days 00:00:50.239000,0 days 00:00:29.706000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
3.0,NOR,4,McLaren,7.0,0 days 00:01:50.131000,True,0 days 00:00:31.022000,0 days 00:00:49.710000,0 days 00:00:29.399000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
3.0,GAS,10,Alpine,12.0,0 days 00:01:50.757000,True,0 days 00:00:31.371000,0 days 00:00:49.771000,0 days 00:00:29.615000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
3.0,PER,11,Red Bull Racing,3.0,0 days 00:01:49.983000,True,0 days 00:00:31.470000,0 days 00:00:48.913000,0 days 00:00:29.600000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
3.0,ALO,14,Aston Martin,9.0,0 days 00:01:50.204000,True,0 days 00:00:31.078000,0 days 00:00:49.535000,0 days 00:00:29.591000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
3.0,LEC,16,Ferrari,2.0,0 days 00:01:50.519000,False,0 days 00:00:31.833000,0 days 00:00:49.132000,0 days 00:00:29.554000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
3.0,STR,18,Aston Martin,15.0,0 days 00:01:51.394000,True,0 days 00:00:31.173000,0 days 00:00:50.525000,0 days 00:00:29.696000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
3.0,MAG,20,Haas F1 Team,17.0,0 days 00:01:51.314000,True,0 days 00:00:31.019000,0 days 00:00:50.715000,0 days 00:00:29.580000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
3.0,TSU,22,RB,18.0,0 days 00:01:51.051000,True,0 days 00:00:31.186000,0 days 00:00:50.298000,0 days 00:00:29.567000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
3.0,ALB,23,Williams,10.0,0 days 00:01:50.200000,True,0 days 00:00:30.836000,0 days 00:00:49.980000,0 days 00:00:29.384000,MEDIUM,,,,12.0,10.0,Finished,2024,GP Belgica,historica
3.0,ZHO,24,Kick Sauber,20.0,,False,0 days 00:00:31.343000,,0 days 00:00:38.281000,HARD,,,,19.0,19.0,Retired,2024,GP Belgica,historica
3.0,HUL,27,Haas F1 Team,16.0,0 days 00:01:51.234000,True,0 days 00:00:30.941000,0 days 00:00:50.656000,0 days 00:00:29.637000,MEDIUM,,,,18.0,16.0,Finished,2024,GP Belgica,historica
3.0,OCO,31,Alpine,11.0,0 days 00:01:50.518000,True,0 days 00:00:30.889000,0 days 00:00:50.158000,0 days 00:00:29.471000,MEDIUM,,,,9.0,9.0,Finished,2024,GP Belgica,historica
3.0,HAM,44,Mercedes,1.0,0 days 00:01:49.109000,True,0 days 00:00:31.215000,0 days 00:00:48.486000,0 days 00:00:29.408000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
3.0,SAI,55,Ferrari,6.0,0 days 00:01:50.113000,True,0 days 00:00:30.969000,0 days 00:00:49.737000,0 days 00:00:29.407000,HARD,,,,6.0,7.0,Finished,2024,GP Belgica,historica
3.0,RUS,63,Mercedes,5.0,0 days 00:01:50.012000,True,0 days 00:00:31.005000,0 days 00:00:49.742000,0 days 00:00:29.265000,MEDIUM,,,,20.0,6.0,Disqualified,2024,GP Belgica,historica
3.0,BOT,77,Kick Sauber,13.0,0 days 00:01:51.085000,True,0 days 00:00:31.130000,0 days 00:00:50.359000,0 days 00:00:29.596000,MEDIUM,,,,15.0,14.0,Finished,2024,GP Belgica,historica
3.0,PIA,81,McLaren,4.0,0 days 00:01:49.971000,True,0 days 00:00:30.988000,0 days 00:00:49.611000,0 days 00:00:29.372000,MEDIUM,,,,2.0,5.0,Finished,2024,GP Belgica,historica
4.0,VER,1,Red Bull Racing,8.0,0 days 00:01:50.055000,False,0 days 00:00:31.020000,0 days 00:00:49.636000,0 days 00:00:29.399000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
4.0,SAR,2,Williams,19.0,0 days 00:01:50.772000,True,0 days 00:00:31.074000,0 days 00:00:50.261000,0 days 00:00:29.437000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
4.0,RIC,3,RB,14.0,0 days 00:01:50.715000,True,0 days 00:00:31.168000,0 days 00:00:49.919000,0 days 00:00:29.628000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
4.0,NOR,4,McLaren,7.0,0 days 00:01:50.012000,True,0 days 00:00:31.154000,0 days 00:00:49.553000,0 days 00:00:29.305000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
4.0,GAS,10,Alpine,12.0,0 days 00:01:50.366000,True,0 days 00:00:31.298000,0 days 00:00:49.692000,0 days 00:00:29.376000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
4.0,PER,11,Red Bull Racing,3.0,0 days 00:01:49.790000,True,0 days 00:00:31.356000,0 days 00:00:49.032000,0 days 00:00:29.402000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
4.0,ALO,14,Aston Martin,9.0,0 days 00:01:50.421000,False,0 days 00:00:31.316000,0 days 00:00:49.585000,0 days 00:00:29.520000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
4.0,LEC,16,Ferrari,2.0,0 days 00:01:49.796000,True,0 days 00:00:31.592000,0 days 00:00:48.778000,0 days 00:00:29.426000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
4.0,STR,18,Aston Martin,15.0,0 days 00:01:50.819000,True,0 days 00:00:31.233000,0 days 00:00:50.042000,0 days 00:00:29.544000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
4.0,MAG,20,Haas F1 Team,17.0,0 days 00:01:51.004000,True,0 days 00:00:31.001000,0 days 00:00:50.547000,0 days 00:00:29.456000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
4.0,TSU,22,RB,18.0,0 days 00:01:50.858000,True,0 days 00:00:31.354000,0 days 00:00:49.985000,0 days 00:00:29.519000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
4.0,ALB,23,Williams,10.0,0 days 00:01:50.310000,False,0 days 00:00:31.057000,0 days 00:00:49.970000,0 days 00:00:29.283000,MEDIUM,,,,12.0,10.0,Finished,2024,GP Belgica,historica
4.0,ZHO,24,Kick Sauber,20.0,0 days 00:01:52.376000,False,0 days 00:00:31.985000,0 days 00:00:50.332000,0 days 00:00:30.059000,HARD,,,,19.0,19.0,Retired,2024,GP Belgica,historica
4.0,HUL,27,Haas F1 Team,16.0,0 days 00:01:50.912000,True,0 days 00:00:30.942000,0 days 00:00:50.432000,0 days 00:00:29.538000,MEDIUM,,,,18.0,16.0,Finished,2024,GP Belgica,historica
4.0,OCO,31,Alpine,11.0,0 days 00:01:50.371000,True,0 days 00:00:30.960000,0 days 00:00:50.172000,0 days 00:00:29.239000,MEDIUM,,,,9.0,9.0,Finished,2024,GP Belgica,historica
4.0,HAM,44,Mercedes,1.0,0 days 00:01:49.808000,False,0 days 00:00:31.754000,0 days 00:00:48.605000,0 days 00:00:29.449000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
4.0,SAI,55,Ferrari,6.0,0 days 00:01:49.882000,True,0 days 00:00:31.041000,0 days 00:00:49.543000,0 days 00:00:29.298000,HARD,,,,6.0,7.0,Finished,2024,GP Belgica,historica
4.0,RUS,63,Mercedes,5.0,0 days 00:01:50.057000,False,0 days 00:00:31.046000,0 days 00:00:49.760000,0 days 00:00:29.251000,MEDIUM,,,,20.0,6.0,Disqualified,2024,GP Belgica,historica
4.0,BOT,77,Kick Sauber,13.0,0 days 00:01:50.527000,True,0 days 00:00:31.083000,0 days 00:00:49.906000,0 days 00:00:29.538000,MEDIUM,,,,15.0,14.0,Finished,2024,GP Belgica,historica
4.0,PIA,81,McLaren,4.0,0 days 00:01:49.847000,True,0 days 00:00:30.979000,0 days 00:00:49.556000,0 days 00:00:29.312000,MEDIUM,,,,2.0,5.0,Finished,2024,GP Belgica,historica
5.0,VER,1,Red Bull Racing,8.0,0 days 00:01:50.138000,False,0 days 00:00:31.118000,0 days 00:00:49.599000,0 days 00:00:29.421000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
5.0,SAR,2,Williams,19.0,0 days 00:01:51.115000,False,0 days 00:00:30.910000,0 days 00:00:50.651000,0 days 00:00:29.554000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
5.0,RIC,3,RB,14.0,0 days 00:01:50.314000,True,0 days 00:00:31.147000,0 days 00:00:49.662000,0 days 00:00:29.505000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
5.0,NOR,4,McLaren,7.0,0 days 00:01:50.155000,False,0 days 00:00:31.080000,0 days 00:00:49.708000,0 days 00:00:29.367000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
5.0,GAS,10,Alpine,12.0,0 days 00:01:50.528000,False,0 days 00:00:31.243000,0 days 00:00:49.858000,0 days 00:00:29.427000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
5.0,PER,11,Red Bull Racing,3.0,0 days 00:01:49.896000,False,0 days 00:00:31.447000,0 days 00:00:48.958000,0 days 00:00:29.491000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
5.0,ALO,14,Aston Martin,9.0,0 days 00:01:50.690000,False,0 days 00:00:31.429000,0 days 00:00:49.688000,0 days 00:00:29.573000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
5.0,LEC,16,Ferrari,2.0,0 days 00:01:49.494000,True,0 days 00:00:31.394000,0 days 00:00:48.729000,0 days 00:00:29.371000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
5.0,STR,18,Aston Martin,15.0,0 days 00:01:50.495000,True,0 days 00:00:31.184000,0 days 00:00:49.809000,0 days 00:00:29.502000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
5.0,MAG,20,Haas F1 Team,17.0,0 days 00:01:50.787000,True,0 days 00:00:30.945000,0 days 00:00:50.445000,0 days 00:00:29.397000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
5.0,TSU,22,RB,18.0,0 days 00:01:50.956000,False,0 days 00:00:31.423000,0 days 00:00:50.058000,0 days 00:00:29.475000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
5.0,ALB,23,Williams,10.0,0 days 00:01:50.723000,False,0 days 00:00:30.919000,0 days 00:00:50.405000,0 days 00:00:29.399000,MEDIUM,,,,12.0,10.0,Finished,2024,GP Belgica,historica
5.0,ZHO,24,Kick Sauber,20.0,0 days 00:02:13.633000,False,0 days 00:00:32.293000,0 days 00:00:54.900000,0 days 00:00:46.440000,HARD,,,,19.0,19.0,Retired,2024,GP Belgica,historica
5.0,HUL,27,Haas F1 Team,16.0,0 days 00:01:50.769000,True,0 days 00:00:31.128000,0 days 00:00:50.106000,0 days 00:00:29.535000,MEDIUM,,,,18.0,16.0,Finished,2024,GP Belgica,historica
5.0,OCO,31,Alpine,11.0,0 days 00:01:50.636000,False,0 days 00:00:30.986000,0 days 00:00:50.275000,0 days 00:00:29.375000,MEDIUM,,,,9.0,9.0,Finished,2024,GP Belgica,historica
5.0,HAM,44,Mercedes,1.0,0 days 00:01:49.376000,False,0 days 00:00:31.592000,0 days 00:00:48.320000,0 days 00:00:29.464000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
5.0,SAI,55,Ferrari,6.0,0 days 00:01:50.237000,False,0 days 00:00:31.077000,0 days 00:00:49.786000,0 days 00:00:29.374000,HARD,,,,6.0,7.0,Finished,2024,GP Belgica,historica
5.0,RUS,63,Mercedes,5.0,0 days 00:01:50.185000,False,0 days 00:00:31.124000,0 days 00:00:49.767000,0 days 00:00:29.294000,MEDIUM,,,,20.0,6.0,Disqualified,2024,GP Belgica,historica
5.0,BOT,77,Kick Sauber,13.0,0 days 00:01:50.462000,True,0 days 00:00:31.091000,0 days 00:00:49.905000,0 days 00:00:29.466000,MEDIUM,,,,15.0,14.0,Finished,2024,GP Belgica,historica
5.0,PIA,81,McLaren,4.0,0 days 00:01:50.085000,False,0 days 00:00:30.860000,0 days 00:00:49.788000,0 days 00:00:29.437000,MEDIUM,,,,2.0,5.0,Finished,2024,GP Belgica,historica
6.0,VER,1,Red Bull Racing,8.0,0 days 00:01:50.073000,False,0 days 00:00:30.920000,0 days 00:00:49.795000,0 days 00:00:29.358000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
6.0,SAR,2,Williams,19.0,0 days 00:01:51.282000,False,0 days 00:00:31.159000,0 days 00:00:50.631000,0 days 00:00:29.492000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
6.0,RIC,3,RB,14.0,0 days 00:01:50.960000,False,0 days 00:00:31.081000,0 days 00:00:50.100000,0 days 00:00:29.779000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
6.0,NOR,4,McLaren,7.0,0 days 00:01:50.201000,False,0 days 00:00:31.140000,0 days 00:00:49.618000,0 days 00:00:29.443000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
6.0,GAS,10,Alpine,12.0,0 days 00:01:51.092000,False,0 days 00:00:31.374000,0 days 00:00:50.109000,0 days 00:00:29.609000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
6.0,PER,11,Red Bull Racing,3.0,0 days 00:01:50.129000,False,0 days 00:00:31.583000,0 days 00:00:49.116000,0 days 00:00:29.430000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
6.0,ALO,14,Aston Martin,9.0,0 days 00:01:50.751000,False,0 days 00:00:31.467000,0 days 00:00:49.622000,0 days 00:00:29.662000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
6.0,LEC,16,Ferrari,2.0,0 days 00:01:49.658000,False,0 days 00:00:31.602000,0 days 00:00:48.685000,0 days 00:00:29.371000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
6.0,STR,18,Aston Martin,15.0,0 days 00:01:50.923000,False,0 days 00:00:31.138000,0 days 00:00:50.128000,0 days 00:00:29.657000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
6.0,MAG,20,Haas F1 Team,17.0,0 days 00:01:51.355000,False,0 days 00:00:30.907000,0 days 00:00:50.872000,0 days 00:00:29.576000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
6.0,TSU,22,RB,18.0,0 days 00:01:51.318000,False,0 days 00:00:31.458000,0 days 00:00:50.234000,0 days 00:00:29.626000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
6.0,ALB,23,Williams,10.0,0 days 00:01:51.027000,False,0 days 00:00:31.107000,0 days 00:00:50.439000,0 days 00:00:29.481000,MEDIUM,,,,12.0,10.0,Finished,2024,GP Belgica,historica
6.0,HUL,27,Haas F1 Team,16.0,0 days 00:01:51.278000,False,0 days 00:00:31.296000,0 days 00:00:50.406000,0 days 00:00:29.576000,MEDIUM,,,,18.0,16.0,Finished,2024,GP Belgica,historica
6.0,OCO,31,Alpine,11.0,0 days 00:01:50.908000,False,0 days 00:00:30.951000,0 days 00:00:50.522000,0 days 00:00:29.435000,MEDIUM,,,,9.0,9.0,Finished,2024,GP Belgica,historica
6.0,HAM,44,Mercedes,1.0,0 days 00:01:49.400000,False,0 days 00:00:31.618000,0 days 00:00:48.355000,0 days 00:00:29.427000,MEDIUM,,,,1.0,3.0,Finished,2024,GP Belgica,historica
6.0,SAI,55,Ferrari,6.0,0 days 00:01:50.243000,False,0 days 00:00:31.032000,0 days 00:00:49.809000,0 days 00:00:29.402000,HARD,,,,6.0,7.0,Finished,2024,GP Belgica,historica
6.0,RUS,63,Mercedes,5.0,0 days 00:01:50.090000,False,0 days 00:00:31.104000,0 days 00:00:49.675000,0 days 00:00:29.311000,MEDIUM,,,,20.0,6.0,Disqualified,2024,GP Belgica,historica
6.0,BOT,77,Kick Sauber,13.0,0 days 00:01:51.097000,False,0 days 00:00:31.023000,0 days 00:00:50.412000,0 days 00:00:29.662000,MEDIUM,,,,15.0,14.0,Finished,2024,GP Belgica,historica
6.0,PIA,81,McLaren,4.0,0 days 00:01:49.963000,False,0 days 00:00:30.986000,0 days 00:00:49.680000,0 days 00:00:29.297000,MEDIUM,,,,2.0,5.0,Finished,2024,GP Belgica,historica
7.0,VER,1,Red Bull Racing,8.0,0 days 00:01:50.146000,False,0 days 00:00:31.044000,0 days 00:00:49.700000,0 days 00:00:29.402000,MEDIUM,,,,4.0,11.0,Finished,2024,GP Belgica,historica
7.0,SAR,2,Williams,18.0,0 days 00:01:51.662000,False,0 days 00:00:31.129000,0 days 00:00:50.815000,0 days 00:00:29.718000,MEDIUM,,,,17.0,18.0,Finished,2024,GP Belgica,historica
7.0,RIC,3,RB,14.0,0 days 00:01:51.290000,False,0 days 00:00:31.279000,0 days 00:00:50.269000,0 days 00:00:29.742000,SOFT,,,,10.0,13.0,Finished,2024,GP Belgica,historica
7.0,NOR,4,McLaren,7.0,0 days 00:01:50.072000,False,0 days 00:00:31.149000,0 days 00:00:49.571000,0 days 00:00:29.352000,MEDIUM,,,,5.0,4.0,Finished,2024,GP Belgica,historica
7.0,GAS,10,Alpine,12.0,0 days 00:01:51.149000,False,0 days 00:00:31.678000,0 days 00:00:49.864000,0 days 00:00:29.607000,MEDIUM,,,,13.0,12.0,Finished,2024,GP Belgica,historica
7.0,PER,11,Red Bull Racing,3.0,0 days 00:01:49.637000,True,0 days 00:00:31.524000,0 days 00:00:48.599000,0 days 00:00:29.514000,MEDIUM,,,,7.0,2.0,Finished,2024,GP Belgica,historica
7.0,ALO,14,Aston Martin,9.0,0 days 00:01:50.778000,False,0 days 00:00:31.576000,0 days 00:00:49.485000,0 days 00:00:29.717000,MEDIUM,,,,8.0,8.0,Finished,2024,GP Belgica,historica
7.0,LEC,16,Ferrari,2.0,0 days 00:01:49.798000,False,0 days 00:00:31.739000,0 days 00:00:48.530000,0 days 00:00:29.529000,MEDIUM,,,,3.0,1.0,Finished,2024,GP Belgica,historica
7.0,STR,18,Aston Martin,15.0,0 days 00:01:51.234000,False,0 days 00:00:31.226000,0 days 00:00:50.349000,0 days 00:00:29.659000,MEDIUM,,,,11.0,15.0,Finished,2024,GP Belgica,historica
7.0,MAG,20,Haas F1 Team,16.0,0 days 00:01:51.277000,False,0 days 00:00:31.142000,0 days 00:00:50.545000,0 days 00:00:29.590000,MEDIUM,,,,14.0,17.0,Finished,2024,GP Belgica,historica
7.0,TSU,22,RB,17.0,0 days 00:01:51.179000,False,0 days 00:00:31.491000,0 days 00:00:50.051000,0 days 00:00:29.637000,MEDIUM,,,,16.0,20.0,Finished,2024,GP Belgica,historica
